Nodes,Number of Nodes in Path,Cost,Convergence Time
2.0,2.0,24.96722012720389,6.83010214626199e-05
3.0,2.0,34.256092086901496,0.00019755930003553335
4.0,2.0,39.67920491520188,0.00040861875704019374
5.0,2.0,40.458514568437565,0.0006383055507546604
6.0,2.0,43.179148771511386,0.000891916822678972
7.0,2.0,44.741675496597125,0.0012766417890492051
8.0,2.0,44.82473516450144,0.0016515915936762744
9.0,2.0,45.60947171686436,0.002183269746232741
10.0,2.0,46.07983916907635,0.002706744883320119
11.0,3.0,45.856154818299736,0.003613372840503655
12.0,2.0,46.977795956647135,0.004365628308588916
13.0,3.0,47.085451390462374,0.005034463240368532
14.0,3.0,46.935954212152666,0.00579502795002248
15.0,3.0,47.51108770107172,0.006604928781490515
16.0,3.0,47.59225070737714,0.0072334993003618595
17.0,3.0,47.45529726901476,0.008642123477293713
18.0,3.0,49.53155764257199,0.009729803198634987
19.0,3.0,47.64409508107522,0.010719141157546847
20.0,3.0,47.88808263246922,0.011865722070826163
21.0,3.0,48.00148939432216,0.013118512559645247
22.0,3.0,49.05773786563677,0.014377036897262723
23.0,3.0,48.41111961200432,0.015581267895084797
24.0,3.0,48.80783983136234,0.01684687869383557
25.0,3.0,49.32821171417902,0.017575953266408186
26.0,3.0,49.184010512167205,0.01953163949569853
27.0,3.0,48.45940733080696,0.021800721045767905
28.0,3.0,48.510177236582514,0.024190574589342175
29.0,3.0,48.84598080459229,0.025490508221163607
30.0,3.0,49.132613649675676,0.026712049352060452
31.0,3.0,49.599487259940744,0.028602765338255627
32.0,3.0,49.15323869946873,0.02994479519305843
33.0,3.0,49.34393616461717,0.031236842127129582
34.0,3.0,49.53990633188975,0.032680785301888345
35.0,3.0,49.07772758373561,0.0349471663484479
36.0,3.0,50.05541493854113,0.038600373976301436
37.0,3.0,49.29925227376785,0.04095346856825423
38.0,3.0,49.057336361915745,0.04308637534037675
39.0,3.0,49.38661763872976,0.04316179823167253
40.0,3.0,49.261730645850356,0.04921937460946565
41.0,3.0,48.83921924898726,0.0492117168879745
42.0,3.0,48.55693935064007,0.05253876081787714
43.0,3.0,49.21618026829138,0.05615411654557332
44.0,3.0,48.96367416263538,0.05615351695825558
45.0,3.0,49.37268172192491,0.0600471024466033
46.0,3.0,49.508688436706,0.06325729058520628
47.0,3.0,49.58032130791938,0.06447640740045227
48.0,3.0,49.3466605850909,0.06651638522006498
49.0,3.0,49.156165396042354,0.07392864416141322
50.0,3.0,49.21794804537036,0.07695858077247544
51.0,3.0,48.82129809808438,0.07649522016544154
52.0,3.0,49.23119876047413,0.07938441427627413
53.0,3.0,49.348980895344035,0.0869571053155578
54.0,4.0,49.228641873351464,0.0905034329631541
55.0,3.0,49.50617109743727,0.08570111860143076
56.0,3.0,49.47584179929517,0.08990872024309517
57.0,3.0,49.31866250198303,0.0968230148353199
58.0,3.0,49.28197070775176,0.10189039872424437
59.0,3.0,49.32160807573349,0.1032753864137253
60.0,3.0,49.677821753642,0.10316387025436552
61.0,3.0,50.15199690430082,0.10775426590796744
62.0,3.0,49.3480811077321,0.11264215365494831
63.0,3.0,49.169452810058715,0.11908437473939197
64.0,3.0,48.314286537855146,0.12267220138323189
65.0,3.0,49.319141333208314,0.12176195937808197
66.0,3.0,48.700808850173715,0.12607353512603459
67.0,3.0,49.08299260129472,0.12799577429743098
68.0,3.0,48.97543602188641,0.1333155136297245
69.0,3.0,49.76346554910607,0.13698628869387183
70.0,3.0,48.64296437729876,0.14349049860888188
71.0,4.0,48.910421618174254,0.1467689358361877
72.0,4.0,48.8326684673685,0.1497609284844729
73.0,3.0,48.961033658565306,0.15914630889892578
74.0,3.0,49.10222627825225,0.17031558905497635
75.0,3.0,49.026109569008746,0.1741598927148498
76.0,3.0,49.589137637700375,0.17559952783112479
77.0,3.0,48.992527369985915,0.17771033721395058
78.0,3.0,49.2644660433685,0.19010531784284232
79.0,4.0,49.64062070204416,0.19594613396295227
80.0,4.0,49.29012922957134,0.20064805285765394
81.0,4.0,49.1854467727895,0.20276681267388977
82.0,4.0,49.13722325409882,0.20914742262056557
83.0,4.0,49.35818539993949,0.2169921610615041
84.0,3.0,49.844167419647036,0.22296215992162724
85.0,4.0,48.81204579204075,0.22915199487516197
86.0,4.0,49.68798284845883,0.2199970542794407
87.0,4.0,49.24067095487442,0.23348909557455838
88.0,3.0,49.260760318916766,0.24504940580613543
89.0,4.0,49.0416057647551,0.2377532189435298
90.0,4.0,48.787263368829294,0.23504324478678185
91.0,4.0,49.05658038498755,0.24988878835545908
92.0,4.0,48.725182501598276,0.24941587684178115
93.0,4.0,49.423563963154876,0.24963008059133399
94.0,4.0,49.32274125264907,0.2563220699234764
95.0,4.0,49.39616643637338,0.2735979415402554
96.0,4.0,49.46683298170836,0.26747801752373723
97.0,3.0,49.79620272468826,0.2952131516862624
98.0,4.0,48.88353462260958,0.28005960908266575
99.0,4.0,48.704023092488974,0.29234297676841814
100.0,4.0,49.24205429684193,0.3057311525439272
